iter	RMSE
0	0.2349682402
1	0.2297757665
2	0.2248021772
3	0.2199840505
4	0.2153684404
5	0.2109140451
6	0.2066373612
7	0.2025255366
8	0.1985857109
9	0.1948045784
10	0.1911576111
11	0.1876820974
12	0.1843174099
13	0.1810992538
14	0.1780137074
15	0.1750551625
16	0.1722173788
17	0.1694980212
18	0.1668951043
19	0.1644004778
20	0.1620233799
21	0.1597478612
22	0.157565815
23	0.1554738302
24	0.1534816447
25	0.1515727488
26	0.1497432409
27	0.148006334
28	0.1463463139
29	0.1447618191
30	0.1432577601
31	0.1418234173
32	0.1404577945
33	0.1391528218
34	0.1379099936
35	0.1367142543
36	0.1355852052
37	0.1345102179
38	0.1334932316
39	0.1325348565
40	0.1316151423
41	0.1307323198
42	0.1298989572
43	0.1291018245
44	0.1283561997
45	0.1276389449
46	0.1269531859
47	0.1262993588
48	0.1256838542
49	0.1250947351
50	0.1245323228
51	0.124007391
52	0.1235009789
53	0.1230149579
54	0.1225580809
55	0.1221167369
56	0.1217029433
57	0.1213065722
58	0.1209356748
59	0.1205750071
60	0.1202380409
61	0.1199128672
62	0.119611377
63	0.1193229568
64	0.1190466858
65	0.1187790031
66	0.1185209872
67	0.1182821731
68	0.1180508794
69	0.117841891
70	0.1176374907
71	0.1174450115
72	0.1172504991
73	0.1170634471
74	0.1168800925
75	0.1167093206
76	0.1165403912
77	0.1163897808
78	0.1162450285
79	0.116107169
80	0.1159744566
81	0.1158420488
82	0.115715159
83	0.1155959183
84	0.1154747231
85	0.115352452
86	0.1152432158
87	0.1151353168
88	0.1150283297
89	0.1149373074
90	0.1148440124
91	0.1147500978
92	0.1146630497
93	0.1145688289
94	0.1144896381
95	0.1144043005
96	0.1143297849
97	0.1142521465
98	0.1141935479
99	0.1141214967
100	0.1140556523
101	0.1139816099
102	0.1139069897
103	0.113855713
104	0.1137889255
105	0.1137352814
106	0.1136775085
107	0.1136257004
108	0.1135720822
109	0.1135131394
110	0.1134499136
111	0.1133967395
112	0.113341004
113	0.1132897063
114	0.1132352759
115	0.1131926931
116	0.1131544387
117	0.1131124737
118	0.1130714836
119	0.1130260182
120	0.1129865578
121	0.1129416995
122	0.1129024326
123	0.1128559702
124	0.1128102407
125	0.1127665067
126	0.1127299886
127	0.1126955155
128	0.1126582776
129	0.1126238617
130	0.1125816581
131	0.1125410361
132	0.112491833
133	0.1124471658
134	0.1124158842
135	0.1123933635
136	0.1123498224
137	0.1123206937
138	0.1122939095
139	0.1122639619
140	0.1122352338
141	0.1121973407
142	0.1121582721
143	0.112130384
144	0.1121018574
145	0.1120704589
146	0.1120331538
147	0.1120022309
148	0.1119775417
149	0.1119496999
150	0.1119115463
151	0.1118802695
152	0.1118510986
153	0.1118096011
154	0.1117727681
155	0.1117488063
156	0.111712625
157	0.1116809296
158	0.1116456659
159	0.1116144398
160	0.1115793323
161	0.1115526908
162	0.111517377
163	0.1114887335
164	0.111458344
165	0.1114375977
166	0.111400913
167	0.1113786346
168	0.1113503873
169	0.1113217519
170	0.1112913961
171	0.1112674622
172	0.1112460719
173	0.1112187784
174	0.1111972269
175	0.1111762842
176	0.11115475
177	0.1111160592
178	0.1110907294
179	0.1110634749
180	0.1110311902
181	0.1110156368
182	0.1109857343
183	0.1109705854
184	0.1109553961
185	0.1109335215
186	0.1109179333
187	0.1108951739
188	0.1108721195
189	0.1108544131
190	0.1108150876
191	0.1107871718
192	0.1107626103
193	0.1107401747
194	0.1107200609
195	0.1107051011
196	0.11068156
197	0.1106602983
198	0.1106433515
199	0.1106180035
200	0.110599122
201	0.1105775345
202	0.1105533562
203	0.1105344946
204	0.1105074717
205	0.1104921857
206	0.1104728747
207	0.1104550569
208	0.1104368519
209	0.1104164254
210	0.110399512
211	0.1103816822
212	0.1103614455
213	0.1103297617
214	0.1103086135
215	0.1102876965
216	0.1102501969
217	0.1102296789
218	0.1102073516
219	0.1101931675
220	0.1101710794
221	0.1101503252
222	0.1101316718
223	0.110115539
224	0.110103339
225	0.110075849
226	0.1100576245
227	0.1100375551
228	0.1100275416
229	0.1100168027
