iter	Passed	Remaining
0	90	20783
1	125	14331
2	150	11350
3	181	10257
4	205	9244
5	228	8519
6	246	7839
7	267	7422
8	291	7158
9	310	6838
10	324	6460
11	338	6151
12	352	5878
13	365	5642
14	380	5453
15	393	5268
16	406	5093
17	419	4942
18	432	4804
19	445	4682
20	459	4574
21	478	4520
22	492	4435
23	510	4381
24	525	4313
25	539	4236
26	553	4165
27	568	4100
28	589	4085
29	607	4050
30	626	4023
31	641	3966
32	657	3926
33	674	3890
34	690	3846
35	708	3815
36	724	3781
37	743	3756
38	761	3726
39	780	3708
40	799	3686
41	819	3667
42	837	3643
43	857	3626
44	877	3605
45	897	3590
46	915	3566
47	946	3588
48	992	3665
49	1011	3642
50	1023	3591
51	1035	3545
52	1056	3529
53	1076	3507
54	1097	3492
55	1116	3470
56	1136	3448
57	1155	3425
58	1195	3464
59	1221	3461
60	1234	3418
61	1246	3377
62	1260	3342
63	1278	3315
64	1299	3299
65	1319	3277
66	1340	3260
67	1359	3239
68	1378	3215
69	1398	3195
70	1418	3176
71	1439	3158
72	1460	3140
73	1479	3118
74	1505	3111
75	1526	3093
76	1551	3083
77	1565	3050
78	1577	3015
79	1591	2983
80	1605	2953
81	1627	2937
82	1647	2917
83	1666	2896
84	1684	2874
85	1704	2853
86	1725	2836
87	1744	2815
88	1766	2798
89	1786	2778
90	1805	2757
91	1826	2740
92	1846	2720
93	1865	2699
94	1885	2679
95	1903	2656
96	1922	2635
97	1941	2615
98	1962	2596
99	1981	2576
100	2001	2556
101	2022	2538
102	2042	2518
103	2062	2499
104	2082	2478
105	2103	2460
106	2122	2439
107	2141	2419
108	2159	2397
109	2179	2377
110	2199	2357
111	2217	2336
112	2237	2316
113	2257	2297
114	2277	2277
115	2297	2257
116	2317	2238
117	2337	2218
118	2357	2198
119	2377	2179
120	2396	2158
121	2413	2136
122	2432	2115
123	2451	2095
124	2471	2076
125	2491	2056
126	2513	2038
127	2532	2017
128	2555	2001
129	2575	1981
130	2594	1961
131	2615	1941
132	2634	1921
133	2656	1903
134	2675	1882
135	2695	1862
136	2715	1843
137	2735	1823
138	2754	1803
139	2774	1783
140	2794	1763
141	2813	1743
142	2834	1724
143	2853	1704
144	2872	1684
145	2892	1664
146	2914	1645
147	2933	1625
148	2959	1609
149	2979	1589
150	2999	1569
151	3019	1549
152	3040	1529
153	3062	1511
154	3084	1492
155	3104	1472
156	3145	1462
157	3180	1449
158	3192	1425
159	3203	1401
160	3215	1378
161	3232	1356
162	3251	1336
163	3270	1316
164	3295	1298
165	3315	1278
166	3338	1259
167	3357	1239
168	3380	1220
169	3398	1199
170	3418	1179
171	3437	1159
172	3456	1138
173	3476	1118
174	3496	1098
175	3519	1079
176	3537	1059
177	3557	1039
178	3575	1018
179	3597	999
180	3617	979
181	3636	959
182	3655	938
183	3675	918
184	3695	898
185	3714	878
186	3736	859
187	3756	839
188	3777	819
189	3796	799
190	3818	779
191	3837	759
192	3857	739
193	3876	719
194	3895	699
195	3914	679
196	3933	658
197	3952	638
198	3974	619
199	3995	599
200	4013	579
201	4032	559
202	4053	539
203	4074	519
204	4095	499
205	4114	479
206	4134	459
207	4152	439
208	4172	419
209	4192	399
210	4211	379
211	4231	359
212	4250	339
213	4272	319
214	4291	299
215	4312	279
216	4332	259
217	4352	239
218	4374	219
219	4394	199
220	4415	179
221	4434	159
222	4453	139
223	4473	119
224	4493	99
225	4513	79
226	4534	59
227	4555	39
228	4574	19
229	4593	0
